asdf_id,worldpop_pop_count_1km_mosaic.2020.sum,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
131,11742.7578125,ADM2,131,131,DOM,DOM-ADM2-62336421B52873509,Pedro Santana,ADM2
132,8707.6796875,ADM2,132,132,DOM,DOM-ADM2-62336421B63250124,Duvergé,ADM2
133,12304.3125,ADM2,133,133,DOM,DOM-ADM2-62336421B77441659,Sabana Yegua,ADM2
134,58851.296875,ADM2,134,134,DOM,DOM-ADM2-62336421B87747262,Samaná,ADM2
135,351595.6875,ADM2,135,135,DOM,DOM-ADM2-62336421B36576591,Los Alcarrizos,ADM2
136,60026.0859375,ADM2,136,136,DOM,DOM-ADM2-62336421B17006045,Nizao,ADM2
137,6905.76464844,ADM2,137,137,DOM,DOM-ADM2-62336421B7611430,Polo,ADM2
138,18879.8476562,ADM2,138,138,DOM,DOM-ADM2-62336421B86885118,Quisqueya,ADM2
139,7681.82226562,ADM2,139,139,DOM,DOM-ADM2-62336421B61942165,Bánica,ADM2
140,80849.9921875,ADM2,140,140,DOM,DOM-ADM2-62336421B31758030,Cotuí,ADM2
141,59659.0390625,ADM2,141,141,DOM,DOM-ADM2-62336421B17742837,San Antonio De Guerra,ADM2
142,240055.59375,ADM2,142,142,DOM,DOM-ADM2-62336421B88875319,San Cristóbal,ADM2
143,4964.04589844,ADM2,143,143,DOM,DOM-ADM2-62336421B70674137,El Pino,ADM2
144,32975.8476562,ADM2,144,144,DOM,DOM-ADM2-62336421B73807904,Cambita Garabitos,ADM2
145,9380.38085938,ADM2,145,145,DOM,DOM-ADM2-62336421B61891131,Villa Jaragua,ADM2
146,10397.1171875,ADM2,146,146,DOM,DOM-ADM2-62336421B69759529,Ramón Santana,ADM2
147,17085.6328125,ADM2,147,147,DOM,DOM-ADM2-62336421B8788314,Fundación,ADM2
148,34570.3867188,ADM2,148,148,DOM,DOM-ADM2-62336421B85341046,Cabrera,ADM2
149,14228.1083984,ADM2,149,149,DOM,DOM-ADM2-62336421B43109836,Cabral,ADM2
150,6319.09667969,ADM2,150,150,DOM,DOM-ADM2-62336421B45032400,El Valle,ADM2
151,11641.8505859,ADM2,151,151,DOM,DOM-ADM2-62336421B29341244,Enriquillo,ADM2
152,745422.0,ADM2,152,152,DOM,DOM-ADM2-62336421B20435459,Santiago,ADM2
153,13935.3144531,ADM2,153,153,DOM,DOM-ADM2-62336421B40601852,Baitoa,ADM2
154,54647.34375,ADM2,154,154,DOM,DOM-ADM2-62336421B19983301,Pedernales,ADM2
155,126.610687256,ADM2,155,155,DOM,DOM-ADM2-62336421B72338099,Isla Beata,ADM2
156,169269.328125,ADM2,156,156,DOM,DOM-ADM2-62336421B10748634,La Romana,ADM2
157,2159.08203125,ADM2,157,157,DOM,DOM-ADM2-62336421B42885380,Isla Saona,ADM2
158,377.290496826,ADM2,158,158,DOM,DOM-ADM2-62336421B10375685,Isla Catalina,ADM2
159,67187.7890625,ADM2,159,159,DOM,DOM-ADM2-62336421B32197612,San Luis,ADM2
160,92006.0546875,ADM2,160,160,DOM,DOM-ADM2-62336421B94417177,San Victor,ADM2
161,57532.125,ADM2,161,161,DOM,DOM-ADM2-62336421B26924656,Matanzas,ADM2
